Date,Trucks (qty),Deliveries (lbs.),Deliveries (qty),Reschedules (qty),Reschedules (lbs.),Temperature (°F),Precipitation (in),Lumber ($)
4/12/2024,39,17165565,623,5,5127,60,0,546
4/13/2024,38,14321254,614,5,10880,60.8,0.1,566.5
4/14/2024,38,14312896,614,5,10904,60.9,0.1,565.8
4/15/2024,36,17427750,945,7,13504,73,0,541
4/16/2024,36,12392430,616,4,6377,76.5,0,536
4/17/2024,39,17809470,924,6,1947,78,0,527.5
4/18/2024,36,17373885,658,7,5228,72,0,522.5
4/19/2024,33,15027615,623,4,10096,62.5,0,518
4/20/2024,37,14262743,610,5,11045,61.1,0.1,561.3
4/21/2024,37,14254385,609,5,11068,61.1,0.1,560.6
4/22/2024,39,17599770,896,5,4088,55,0,508.5
4/23/2024,39,14892795,693,4,17402,65,0,518
4/24/2024,39,17835015,805,6,5810,73,0,509.5
4/25/2024,39,19059720,707,5,5711,73.5,0.01,499.5
4/26/2024,39,10777020,469,7,14977,74.5,0,516
4/27/2024,37,14204232,605,5,11209,61.3,0.1,556.1
4/28/2024,37,14195874,605,5,11232,61.4,0.1,555.4
4/29/2024,42,18681705,784,6,13175,70,0,513.5
4/30/2024,45,17210505,679,5,15677,72,0,499
5/1/2024,45,15514575,770,8,13777,74.5,0,495
5/2/2024,45,17337330,595,6,13900,73,1.72,494.5
5/3/2024,45,11964720,595,6,8951,73.5,1.19,502
5/4/2024,38,14189834,609,5,10307,61.9,0.1,549.2
5/5/2024,38,14181475,608,5,10330,61.9,0.1,548.5
5/6/2024,45,15362220,903,6,14654,77,0,499
5/7/2024,45,11428500,532,4,622,79,0,498.5
5/8/2024,42,14872455,903,4,13281,81.5,0,499.5
5/9/2024,45,11165430,567,3,6798,69.5,0,494.5
5/10/2024,45,10207545,539,3,6596,68.5,0,490.5
5/11/2024,38,14131323,604,5,10471,62.1,0.1,544
5/12/2024,38,14122964,604,5,10495,62.1,0.1,543.3
5/13/2024,45,20500395,637,5,15010,72.5,0,481
5/14/2024,45,11204715,532,2,4986,70.5,0,482
5/15/2024,45,11850825,525,5,2180,74,0,496
5/16/2024,45,9941175,406,5,16746,69.5,0.28,527.5
5/17/2024,45,6190935,287,6,29533,71,0,529
5/18/2024,37,14072812,600,5,10636,62.3,0.1,538.8
5/19/2024,37,14064453,599,5,10659,62.4,0.1,538
5/20/2024,42,15882780,630,6,31703,82,0,524
5/21/2024,42,11847405,490,4,5110,83,0,540.5
5/22/2024,45,14728230,455,4,16320,78,0.42,539.5
5/23/2024,42,7829055,266,5,16480,82,0,532.5
5/24/2024,42,8128890,427,3,14542,81.5,0.36,526.5
5/25/2024,37,14014301,596,5,10800,62.6,0.1,533.6
5/26/2024,37,14005942,595,5,10824,62.6,0.1,532.8
5/27/2024,37,13997583,594,5,10847,62.6,0.1,532.1
5/28/2024,42,4879425,126,10,65285,72,1.64,535
5/29/2024,42,11026560,721,7,29202,77.5,0.01,527
5/30/2024,42,15044430,511,7,29789,71,0.96,518
5/31/2024,42,5121345,294,7,18913,75.5,0.44,508
6/1/2024,38,14008261,600,5,9875,63.1,0.1,527.4
6/2/2024,38,13999902,599,5,9898,63.1,0.1,526.7
6/3/2024,45,13034865,504,9,21521,79.5,0.02,493
6/4/2024,45,8897565,413,7,9953,80.5,0.07,489.5
6/5/2024,45,9337860,343,8,19071,79,0.89,494
6/6/2024,45,8552475,378,7,20738,79.5,0,506
